Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
708.58	0.10132	0.34762	2.8767	762.94	1054.4	8.1196	0.86672	1.1636	625.67	-0.57958	41.101	0.065029	vapor
711.41	0.10132	0.34662	2.8850	765.40	1057.7	8.1230	0.86731	1.1642	626.52	-0.58175	41.178	0.065179	vapor
714.25	0.10132	0.34562	2.8933	767.86	1061.0	8.1263	0.86791	1.1648	627.36	-0.58391	41.255	0.065328	vapor
717.09	0.10132	0.34463	2.9016	770.33	1064.3	8.1297	0.86850	1.1654	628.21	-0.58604	41.333	0.065478	vapor
719.92	0.10132	0.34365	2.9100	772.79	1067.6	8.1330	0.86909	1.1660	629.05	-0.58816	41.410	0.065627	vapor
722.76	0.10132	0.34267	2.9183	775.26	1070.9	8.1363	0.86968	1.1665	629.90	-0.59025	41.487	0.065776	vapor
725.59	0.10132	0.34170	2.9266	777.72	1074.3	8.1396	0.87026	1.1671	630.74	-0.59233	41.563	0.065925	vapor
728.43	0.10132	0.34073	2.9349	780.19	1077.6	8.1430	0.87085	1.1677	631.58	-0.59440	41.640	0.066074	vapor
731.27	0.10132	0.33977	2.9432	782.66	1080.9	8.1463	0.87143	1.1683	632.42	-0.59644	41.717	0.066222	vapor
734.10	0.10132	0.33881	2.9515	785.14	1084.2	8.1496	0.87201	1.1689	633.26	-0.59847	41.793	0.066371	vapor
736.94	0.10132	0.33786	2.9598	787.61	1087.5	8.1528	0.87259	1.1695	634.09	-0.60049	41.870	0.066519	vapor
739.78	0.10132	0.33691	2.9681	790.09	1090.8	8.1561	0.87317	1.1700	634.93	-0.60248	41.946	0.066668	vapor
742.61	0.10132	0.33597	2.9764	792.56	1094.2	8.1594	0.87374	1.1706	635.76	-0.60446	42.023	0.066816	vapor
745.45	0.10132	0.33504	2.9847	795.04	1097.5	8.1627	0.87431	1.1712	636.60	-0.60643	42.099	0.066964	vapor
748.29	0.10132	0.33411	2.9931	797.52	1100.8	8.1659	0.87489	1.1718	637.43	-0.60837	42.175	0.067112	vapor
751.12	0.10132	0.33318	3.0014	800.01	1104.1	8.1692	0.87546	1.1723	638.26	-0.61030	42.251	0.067260	vapor
753.96	0.10132	0.33226	3.0097	802.49	1107.4	8.1724	0.87602	1.1729	639.09	-0.61222	42.327	0.067407	vapor
756.80	0.10132	0.33135	3.0180	804.98	1110.8	8.1756	0.87659	1.1735	639.92	-0.61412	42.403	0.067555	vapor
759.63	0.10132	0.33044	3.0263	807.46	1114.1	8.1789	0.87715	1.1740	640.75	-0.61601	42.479	0.067703	vapor
762.47	0.10132	0.32953	3.0346	809.95	1117.4	8.1821	0.87772	1.1746	641.58	-0.61787	42.555	0.067850	vapor
765.30	0.10132	0.32863	3.0429	812.44	1120.8	8.1853	0.87828	1.1751	642.40	-0.61973	42.630	0.067997	vapor
768.14	0.10132	0.32774	3.0512	814.94	1124.1	8.1885	0.87883	1.1757	643.23	-0.62157	42.706	0.068144	vapor
770.98	0.10132	0.32685	3.0595	817.43	1127.4	8.1917	0.87939	1.1763	644.05	-0.62339	42.781	0.068291	vapor
773.81	0.10132	0.32596	3.0678	819.92	1130.8	8.1949	0.87995	1.1768	644.87	-0.62520	42.857	0.068438	vapor
776.65	0.10132	0.32508	3.0761	822.42	1134.1	8.1981	0.88050	1.1774	645.69	-0.62700	42.932	0.068585	vapor
779.49	0.10132	0.32421	3.0845	824.92	1137.5	8.2013	0.88105	1.1779	646.51	-0.62878	43.007	0.068731	vapor
782.32	0.10132	0.32334	3.0928	827.42	1140.8	8.2044	0.88160	1.1785	647.33	-0.63055	43.082	0.068878	vapor
785.16	0.10132	0.32247	3.1011	829.92	1144.1	8.2076	0.88215	1.1790	648.15	-0.63230	43.157	0.069024	vapor
788.00	0.10132	0.32161	3.1094	832.42	1147.5	8.2108	0.88269	1.1796	648.97	-0.63404	43.232	0.069170	vapor
790.83	0.10132	0.32075	3.1177	834.93	1150.8	8.2139	0.88324	1.1801	649.78	-0.63577	43.307	0.069316	vapor
793.67	0.10132	0.31990	3.1260	837.43	1154.2	8.2170	0.88378	1.1806	650.60	-0.63748	43.382	0.069462	vapor
796.51	0.10132	0.31905	3.1343	839.94	1157.5	8.2202	0.88432	1.1812	651.41	-0.63918	43.457	0.069608	vapor
799.34	0.10132	0.31821	3.1426	842.45	1160.9	8.2233	0.88486	1.1817	652.22	-0.64086	43.531	0.069753	vapor
802.18	0.10132	0.31737	3.1509	844.96	1164.2	8.2264	0.88540	1.1823	653.04	-0.64254	43.606	0.069899	vapor
805.01	0.10132	0.31653	3.1592	847.47	1167.6	8.2295	0.88593	1.1828	653.85	-0.64420	43.681	0.070044	vapor
807.85	0.10132	0.31570	3.1675	849.99	1170.9	8.2327	0.88646	1.1833	654.66	-0.64584	43.755	0.070190	vapor
810.69	0.10132	0.31488	3.1759	852.50	1174.3	8.2358	0.88700	1.1839	655.46	-0.64748	43.829	0.070335	vapor
813.52	0.10132	0.31405	3.1842	855.02	1177.7	8.2389	0.88752	1.1844	656.27	-0.64910	43.904	0.070480	vapor
816.36	0.10132	0.31324	3.1925	857.54	1181.0	8.2419	0.88805	1.1849	657.08	-0.65071	43.978	0.070625	vapor
819.20	0.10132	0.31242	3.2008	860.06	1184.4	8.2450	0.88858	1.1854	657.88	-0.65230	44.052	0.070770	vapor
822.03	0.10132	0.31161	3.2091	862.58	1187.7	8.2481	0.88910	1.1860	658.69	-0.65388	44.126	0.070914	vapor
824.87	0.10132	0.31081	3.2174	865.10	1191.1	8.2512	0.88962	1.1865	659.49	-0.65546	44.200	0.071059	vapor
827.71	0.10132	0.31001	3.2257	867.63	1194.5	8.2542	0.89014	1.1870	660.29	-0.65702	44.274	0.071203	vapor
830.54	0.10132	0.30921	3.2340	870.15	1197.8	8.2573	0.89066	1.1875	661.10	-0.65856	44.348	0.071348	vapor
833.38	0.10132	0.30842	3.2423	872.68	1201.2	8.2603	0.89118	1.1880	661.90	-0.66010	44.421	0.071492	vapor
836.22	0.10132	0.30763	3.2506	875.21	1204.6	8.2634	0.89169	1.1885	662.69	-0.66162	44.495	0.071636	vapor
839.05	0.10132	0.30685	3.2589	877.74	1207.9	8.2664	0.89221	1.1891	663.49	-0.66314	44.569	0.071780	vapor
841.89	0.10132	0.30607	3.2673	880.27	1211.3	8.2694	0.89272	1.1896	664.29	-0.66464	44.642	0.071924	vapor
844.72	0.10132	0.30529	3.2756	882.80	1214.7	8.2725	0.89323	1.1901	665.09	-0.66613	44.716	0.072067	vapor
847.56	0.10132	0.30452	3.2839	885.34	1218.1	8.2755	0.89373	1.1906	665.88	-0.66761	44.789	0.072211	vapor
850.40	0.10132	0.30375	3.2922	887.87	1221.5	8.2785	0.89424	1.1911	666.68	-0.66907	44.862	0.072354	vapor
853.23	0.10132	0.30298	3.3005	890.41	1224.8	8.2815	0.89474	1.1916	667.47	-0.67053	44.936	0.072497	vapor
856.07	0.10132	0.30222	3.3088	892.95	1228.2	8.2845	0.89525	1.1921	668.26	-0.67198	45.009	0.072641	vapor
858.91	0.10132	0.30147	3.3171	895.49	1231.6	8.2875	0.89575	1.1926	669.06	-0.67341	45.082	0.072784	vapor
861.74	0.10132	0.30071	3.3254	898.03	1235.0	8.2905	0.89624	1.1931	669.85	-0.67483	45.155	0.072927	vapor
864.58	0.10132	0.29996	3.3337	900.57	1238.4	8.2934	0.89674	1.1936	670.64	-0.67625	45.228	0.073069	vapor
867.42	0.10132	0.29922	3.3420	903.12	1241.7	8.2964	0.89724	1.1941	671.43	-0.67765	45.301	0.073212	vapor
870.25	0.10132	0.29848	3.3503	905.66	1245.1	8.2994	0.89773	1.1946	672.21	-0.67904	45.373	0.073355	vapor
873.09	0.10132	0.29774	3.3587	908.21	1248.5	8.3023	0.89822	1.1951	673.00	-0.68043	45.446	0.073497	vapor
