Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
208.33	17.500	8.7387	0.11443	2602.9	2803.1	6.4042	2.0553	2.9910	507.13	2.2828	16.032	0.041241	vapor
209.38	17.500	8.7087	0.11483	2605.3	2806.2	6.4106	2.0371	2.9604	508.18	2.2628	16.079	0.041249	vapor
210.42	17.500	8.6791	0.11522	2607.7	2809.3	6.4169	2.0203	2.9320	509.21	2.2432	16.127	0.041258	vapor
211.46	17.500	8.6499	0.11561	2610.0	2812.3	6.4232	2.0049	2.9056	510.21	2.2240	16.174	0.041270	vapor
212.50	17.500	8.6211	0.11599	2612.4	2815.3	6.4294	1.9905	2.8810	511.20	2.2051	16.222	0.041283	vapor
213.54	17.500	8.5927	0.11638	2614.7	2818.3	6.4356	1.9772	2.8580	512.16	2.1866	16.269	0.041298	vapor
214.58	17.500	8.5646	0.11676	2617.0	2821.3	6.4417	1.9648	2.8364	513.11	2.1685	16.316	0.041315	vapor
215.63	17.500	8.5368	0.11714	2619.2	2824.2	6.4477	1.9531	2.8161	514.05	2.1506	16.363	0.041334	vapor
216.67	17.500	8.5094	0.11752	2621.5	2827.2	6.4537	1.9423	2.7969	514.97	2.1331	16.411	0.041354	vapor
217.71	17.500	8.4823	0.11789	2623.8	2830.1	6.4596	1.9320	2.7787	515.88	2.1159	16.458	0.041376	vapor
218.75	17.500	8.4554	0.11827	2626.0	2833.0	6.4655	1.9224	2.7615	516.78	2.0989	16.505	0.041400	vapor
219.79	17.500	8.4289	0.11864	2628.2	2835.8	6.4713	1.9132	2.7451	517.66	2.0822	16.552	0.041425	vapor
220.83	17.500	8.4026	0.11901	2630.4	2838.7	6.4771	1.9046	2.7295	518.54	2.0658	16.599	0.041451	vapor
221.88	17.500	8.3767	0.11938	2632.6	2841.5	6.4828	1.8964	2.7146	519.40	2.0496	16.646	0.041479	vapor
222.92	17.500	8.3510	0.11975	2634.8	2844.3	6.4885	1.8885	2.7004	520.26	2.0336	16.693	0.041509	vapor
223.96	17.500	8.3255	0.12011	2636.9	2847.1	6.4941	1.8811	2.6867	521.11	2.0179	16.740	0.041540	vapor
225.00	17.500	8.3003	0.12048	2639.1	2849.9	6.4998	1.8739	2.6736	521.95	2.0024	16.787	0.041572	vapor
226.04	17.500	8.2754	0.12084	2641.2	2852.7	6.5053	1.8671	2.6610	522.78	1.9870	16.833	0.041606	vapor
227.08	17.500	8.2507	0.12120	2643.4	2855.5	6.5109	1.8606	2.6489	523.61	1.9719	16.880	0.041641	vapor
228.13	17.500	8.2262	0.12156	2645.5	2858.2	6.5164	1.8543	2.6372	524.43	1.9570	16.927	0.041677	vapor
229.17	17.500	8.2020	0.12192	2647.6	2861.0	6.5218	1.8483	2.6259	525.24	1.9423	16.974	0.041714	vapor
230.21	17.500	8.1779	0.12228	2649.7	2863.7	6.5272	1.8425	2.6150	526.05	1.9277	17.020	0.041753	vapor
